TeamId,Name,City
1,Arizona Cardinals,Phoenix
2,Atlanta Falcons,Atlanta
3,Baltimore Ravens,Baltimore
4,Buffalo Bills,Buffalo
5,Carolina Panthers,Charlotte
6,Chicago Bears,Chicago
7,Cincinnati Bengals,Cincinnati
8,Cleveland Browns,Cleveland
9,Dallas Cowboys,Dallas
10,Denver Broncos,Denver
11,Detroit Lions,Detroit
12,Green Bay Packers,Green Bay
13,Houston Texans,Houston
14,Indianapolis Colts,Indianapolis
15,Jacksonville Jaguars,Jacksonville
16,Kansas City Chiefs,Kansas City
17,Los Angeles Chargers,Los Angeles
18,Los Angeles Rams,Los Angeles
19,Miami Dolphins,Miami
20,Minnesota Vikings,Minneapolis
21,New England Patriots,Boston
22,New Orleans Saints,New Orleans
23,New York Giants,New York
24,New York Jets,New York
25,Oakland Raiders,Oakland
26,Philadelphia Eagles,Philadelphia
27,Pittsburgh Steelers,Pittsburgh
28,San Francisco 49ers,San Francisco
29,Seattle Seahawks,Seattle
30,Tampa Bay Buccaneers,Tampa Bay
31,Tennessee Titans,Nashville
32,Washington Redskins,Washington
