GameId,HomeTeamId,AwayTeamId,HomeScore,AwayScore,Week,HomePassingYards,HomeRushingYards,AwayPassingYards,AwayRushingYards,
1,26,2,18,12,1,119,113,225,74,
2,5,9,16,8,1,146,147,138,94,
3,8,27,21,21,1,150,177,313,159,
4,14,7,23,34,1,305,75,229,101,
5,1,32,6,24,1,145,68,247,182,
6,10,29,27,24,1,324,146,242,64,
7,22,30,40,48,1,432,43,417,112,
8,20,28,24,16,1,244,116,261,90,
9,19,31,27,20,1,230,120,220,116,
10,23,15,15,20,1,224,114,176,137,
11,21,13,27,20,1,277,122,176,167,
12,3,4,47,3,1,260,117,98,83,
13,17,16,28,38,1,424,123,256,106,
14,12,6,24,23,1,341,69,171,139,
15,11,24,17,48,1,300,39,198,169,
16,25,18,13,33,1,303,95,233,140,
17,7,3,34,23,2,265,108,376,66,
18,12,20,29,29,2,281,98,425,68,
19,30,26,27,21,2,402,43,334,91,
20,2,5,31,24,2,272,170,335,121,
21,27,16,37,42,2,452,33,326,127,
22,24,19,12,20,2,334,42,168,135,
23,22,8,21,18,2,243,62,246,93,
24,31,13,20,17,2,191,100,310,148,
25,32,14,9,21,2,292,65,179,104,
26,4,17,20,31,2,245,84,256,109,
27,28,11,30,27,2,206,190,347,98,
28,18,1,34,0,2,354,90,90,54,
29,15,21,31,20,2,376,104,234,82,
30,10,25,20,19,2,222,168,288,92,
31,9,23,20,13,2,160,138,279,35,
32,6,29,24,17,2,200,86,226,74,
33,8,24,21,17,3,220,133,169,107,
34,13,23,22,27,3,385,59,297,114,
35,3,10,27,14,3,277,77,192,120,
36,26,14,20,16,3,255,152,164,68,
37,20,4,6,27,3,269,14,196,128,
38,32,12,31,17,3,220,166,265,100,
39,5,7,31,21,3,150,230,352,66,
40,2,22,37,43,3,374,48,396,143,
41,16,28,38,27,3,314,77,251,178,
42,19,25,28,20,3,341,41,345,109,
43,15,31,6,9,3,155,87,108,150,
44,18,17,35,23,3,354,171,226,141,
45,29,9,34,13,3,192,116,168,166,
46,1,6,14,16,3,193,53,220,122,
47,11,21,26,10,3,262,159,133,89,
48,30,27,27,30,3,411,63,353,78,
49,18,20,38,31,4,465,100,422,54,
50,21,19,38,7,4,274,175,135,56,
51,15,24,31,12,4,388,126,167,34,
52,14,13,34,37,4,464,41,375,119,
53,12,4,22,0,4,298,141,151,58,
54,9,11,26,24,4,255,183,307,96,
55,6,30,48,10,4,354,139,271,60,
56,31,26,26,23,4,344,70,348,117,
57,2,7,36,37,4,419,92,337,99,
58,25,8,45,42,4,437,139,295,208,
59,1,29,20,17,4,180,92,172,171,
60,23,22,18,33,4,255,65,227,170,
61,17,28,29,27,4,250,126,298,76,
62,27,3,14,26,4,274,19,363,96,
63,10,16,23,27,4,245,159,304,142,
64,21,14,38,24,5,341,97,365,84,
65,5,23,33,31,5,237,118,383,50,
66,11,12,31,23,5,183,94,442,98,
67,7,19,27,17,5,248,103,185,128,
68,27,2,41,17,5,250,131,305,62,
69,16,15,30,14,5,313,126,430,101,
70,8,3,12,9,5,342,112,298,116,
71,24,10,34,16,5,198,323,377,92,
72,4,31,13,12,5,82,144,129,100,
73,17,25,26,10,5,339,79,268,41,
74,28,1,18,28,5,349,147,170,56,
75,29,18,31,33,5,198,190,321,155,
76,26,20,21,23,5,311,81,301,77,
77,13,9,19,16,5,375,88,208,98,
78,22,32,43,19,5,363,98,275,39,
79,23,26,13,34,6,281,147,278,108,
80,19,6,31,28,6,380,161,316,164,
81,32,5,23,17,6,163,132,275,81,
82,24,14,42,34,6,280,107,301,127,
