PlayerId,TeamId,Touchdowns,Tackles,Points,Interceptions,Name,PositionalUnit,PassingYards,RushingYards,RecievingYards,Sacks,PlayedInProBowl
1,15,0,54,0,1,A.J. Bouye,CB,0,0,0,0,0
2,19,1,1,6,0,A.J. Derby,zzz,0,0,48,0,0
3,7,6,0,36,0,A.J. Green,WR,0,0,694,0,0
4,21,0,70,0,1,A.J. Klein,LB,0,0,0,2,0
5,25,0,0,0,0,A.J. Mccarron,QB,8,0,0,0,0
6,13,0,11,0,0,A.J. Moore,zzz,0,0,0,0,0
7,1,0,1,0,0,Aaron Brewer,LS,0,0,0,0,0
8,13,0,29,0,0,Aaron Colvin,CB,0,0,0,0,0
9,18,0,59,0,0,Aaron Donald,DT,0,0,0,20.5,1
10,12,9,0,54,0,Aaron Jones,RB,0,728,206,0,0
11,6,0,16,0,1,Aaron Lynch,LB,0,0,0,3,0
12,12,27,0,162,0,Aaron Rodgers,QB,4442,269,0,0,1
13,31,0,2,0,0,Aaron Wallace,zzz,0,0,0,0,0
14,15,0,29,0,0,Abry Jones,DT,0,0,0,1,0
15,22,0,17,0,0,Adam Butler,zzz,0,0,0,3,0
16,10,0,38,0,0,Adam Gotsis,DE,0,0,0,3,0
17,30,5,0,30,0,Adam Humphries,WR,0,11,816,0,0
18,10,0,9,0,1,Adam Jones,CB,0,0,0,0,0
19,6,1,0,6,0,Adam Shaheen,TE,0,0,48,0,0
20,20,9,0,54,0,Adam Thielen,WR,0,30,1373,0,1
21,14,0,0,113,0,Adam Vinatieri,K,0,0,0,0,0
22,30,0,60,0,1,Adarius Taylor,LB,0,0,0,1,0
23,7,0,8,0,0,Adolphus washington,DT,0,0,0,1,0
24,32,0,4,0,0,Adonis Alexander,zzz,0,0,0,0,0
25,31,0,73,0,2,Adoree' Jackson,CB,0,0,0,0,0
26,6,0,73,0,2,Adrian Amos,S,0,0,0,1,0
27,22,0,11,0,0,Adrian Clayborn,DE,0,0,0,2.5,0
28,28,0,21,0,0,Adrian Colbert,FS,0,0,0,0,0
29,32,8,0,48,0,Adrian Peterson,RB,0,1042,208,0,0
30,17,0,94,0,1,Adrian phillips,LB,0,0,0,0,1
31,28,0,37,0,0,Ahkello Witherspoon,CB,0,0,0,0,0
32,14,0,1,0,0,Ahmad Thomas,LB,0,0,0,0,0
33,29,0,21,0,0,Akeem King,CB,0,0,0,0,0
34,19,0,42,0,0,Akeem Spence,DT,0,0,0,2,0
35,6,1,55,6,0,Akiem Hicks,DT,0,1,0,7.5,1
36,14,0,24,0,0,Al Woods,DT,0,0,0,0,0
37,30,0,3,0,0,Alan Cross,TE,0,0,9,0,0
38,3,0,7,0,0,Albert Mcclellan,LB,0,0,0,0,0
39,19,5,2,30,0,Albert Wilson,WR,52,16,391,0,0
40,20,5,0,30,0,Aldrick Robinson,WR,0,0,231,0,0
41,23,0,0,127,0,Aldrick Rosas,K,0,0,0,0,1
